metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus,1787039136,10.000000,,,,,,,,,,,,,,,,
vus_max,1787039136,10.000000,,,,,,,,,,,,,,,,
vus,1787039137,10.000000,,,,,,,,,,,,,,,,
vus_max,1787039137,10.000000,,,,,,,,,,,,,,,,
browser_data_sent,1787039137,213.000000,,,,,,GET,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,resource_type=Document,
browser_data_sent,1787039137,213.000000,,,,,,GET,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,resource_type=Document,
browser_data_sent,1787039137,213.000000,,,,,,GET,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,resource_type=Document,
browser_web_vital_ttfb,1787039137,58.800000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_http_req_duration,1787039137,59.925000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_service_worker=false&from_prefetch_cache=false&from_cache=false&resource_type=Document,
browser_data_received,1787039137,3165.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_cache=false&resource_type=Document&from_service_worker=false&from_prefetch_cache=false,
browser_http_req_failed,1787039137,0.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_service_worker=false&resource_type=Document&from_prefetch_cache=false&from_cache=false,
browser_web_vital_ttfb,1787039137,51.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_http_req_duration,1787039137,51.338000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_cache=false&from_service_worker=false&resource_type=Document&from_prefetch_cache=false,
browser_data_received,1787039137,3165.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,resource_type=Document&from_service_worker=false&from_prefetch_cache=false&from_cache=false,
browser_http_req_failed,1787039137,0.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,resource_type=Document&from_prefetch_cache=false&from_service_worker=false&from_cache=false,
browser_web_vital_ttfb,1787039137,44.200000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_http_req_duration,1787039137,42.218000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,resource_type=Document&from_service_worker=false&from_prefetch_cache=false&from_cache=false,
browser_data_received,1787039137,3165.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_prefetch_cache=false&from_cache=false&resource_type=Document&from_service_worker=false,
browser_http_req_failed,1787039137,0.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_cache=false&resource_type=Document&from_service_worker=false&from_prefetch_cache=false,
browser_web_vital_fcp,1787039137,344.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_web_vital_fcp,1787039137,440.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_web_vital_lcp,1787039138,344.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_web_vital_lcp,1787039138,440.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_web_vital_fcp,1787039138,1124.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
vus,1787039138,10.000000,,,,,,,,,,,,,,,,
vus_max,1787039138,10.000000,,,,,,,,,,,,,,,,
checks,1787039138,1.000000,successful login,,,,,,,,ui,,,,,,,
vus,1787039139,10.000000,,,,,,,,,,,,,,,,
vus_max,1787039139,10.000000,,,,,,,,,,,,,,,,
browser_web_vital_cls,1787039139,0.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_data_sent,1787039139,213.000000,,,,,,GET,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,resource_type=Document,
checks,1787039139,1.000000,successful login,,,,,,,,ui,,,,,,,
browser_web_vital_cls,1787039139,0.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
data_sent,1787039139,0.000000,,,,,,,,,ui,,,,,,,
data_received,1787039139,0.000000,,,,,,,,,ui,,,,,,,
iteration_duration,1787039139,3414.602700,,,,,,,,,ui,,,,,,,
iterations,1787039139,1.000000,,,,,,,,,ui,,,,,,,
checks,1787039139,1.000000,successful login,,,,,,,,ui,,,,,,,
data_sent,1787039140,0.000000,,,,,,,,,ui,,,,,,,
data_received,1787039140,0.000000,,,,,,,,,ui,,,,,,,
iteration_duration,1787039140,3604.716500,,,,,,,,,ui,,,,,,,
iterations,1787039140,1.000000,,,,,,,,,ui,,,,,,,
browser_web_vital_cls,1787039140,0.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
data_sent,1787039140,0.000000,,,,,,,,,ui,,,,,,,
data_received,1787039140,0.000000,,,,,,,,,ui,,,,,,,
iteration_duration,1787039140,3759.433400,,,,,,,,,ui,,,,,,,
iterations,1787039140,1.000000,,,,,,,,,ui,,,,,,,
browser_data_sent,1787039140,213.000000,,,,,,GET,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,resource_type=Document,
vus,1787039140,10.000000,,,,,,,,,,,,,,,,
vus_max,1787039140,10.000000,,,,,,,,,,,,,,,,
browser_web_vital_ttfb,1787039140,2.500000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_http_req_duration,1787039140,3.555000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_service_worker=false&from_prefetch_cache=false&from_cache=false&resource_type=Document,
browser_data_received,1787039140,3165.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,resource_type=Document&from_prefetch_cache=false&from_cache=false&from_service_worker=false,
browser_http_req_failed,1787039140,0.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_prefetch_cache=false&from_cache=false&resource_type=Document&from_service_worker=false,
browser_data_sent,1787039140,213.000000,,,,,,GET,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,resource_type=Document,
browser_web_vital_fcp,1787039140,164.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_web_vital_lcp,1787039140,164.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_web_vital_ttfb,1787039140,1006.900000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=needs-improvement,
browser_web_vital_fcp,1787039140,1152.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_web_vital_ttfb,1787039140,5.700000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_http_req_duration,1787039140,115.594000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_service_worker=false&from_cache=false&resource_type=Document&from_prefetch_cache=false,
browser_data_received,1787039140,3165.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_service_worker=false&from_cache=false&resource_type=Document&from_prefetch_cache=false,
browser_http_req_failed,1787039140,0.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_service_worker=false&resource_type=Document&from_prefetch_cache=false&from_cache=false,
browser_web_vital_fcp,1787039140,376.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_http_req_duration,1787039140,1007.297000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_cache=false&resource_type=Document&from_service_worker=false&from_prefetch_cache=false,
browser_data_received,1787039140,3165.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,resource_type=Document&from_service_worker=false&from_cache=false&from_prefetch_cache=false,
browser_http_req_failed,1787039140,0.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,resource_type=Document&from_service_worker=false&from_cache=false&from_prefetch_cache=false,
checks,1787039140,1.000000,successful login,,,,,,,,ui,,,,,,,
browser_web_vital_cls,1787039141,0.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
data_sent,1787039141,0.000000,,,,,,,,,ui,,,,,,,
data_received,1787039141,0.000000,,,,,,,,,ui,,,,,,,
iteration_duration,1787039141,3619.140800,,,,,,,,,ui,,,,,,,
iterations,1787039141,1.000000,,,,,,,,,ui,,,,,,,
browser_web_vital_lcp,1787039141,1152.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
browser_web_vital_lcp,1787039141,376.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
checks,1787039141,1.000000,successful login,,,,,,,,ui,,,,,,,
checks,1787039141,1.000000,successful login,,,,,,,,ui,,,,,,,
vus,1787039141,10.000000,,,,,,,,,,,,,,,,
vus_max,1787039141,10.000000,,,,,,,,,,,,,,,,
browser_web_vital_cls,1787039141,0.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
data_sent,1787039141,0.000000,,,,,,,,,ui,,,,,,,
data_received,1787039141,0.000000,,,,,,,,,ui,,,,,,,
iteration_duration,1787039141,1519.230700,,,,,,,,,ui,,,,,,,
iterations,1787039141,1.000000,,,,,,,,,ui,,,,,,,
browser_web_vital_cls,1787039141,0.000000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
data_sent,1787039141,0.000000,,,,,,,,,ui,,,,,,,
data_received,1787039141,0.000000,,,,,,,,,ui,,,,,,,
iteration_duration,1787039141,4278.996100,,,,,,,,,ui,,,,,,,
iterations,1787039141,1.000000,,,,,,,,,ui,,,,,,,
vus,1787039142,10.000000,,,,,,,,,,,,,,,,
vus_max,1787039142,10.000000,,,,,,,,,,,,,,,,
browser_data_sent,1787039142,213.000000,,,,,,GET,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,resource_type=Document,
browser_http_req_duration,1787039142,4.599000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_service_worker=false&from_cache=false&from_prefetch_cache=false&resource_type=Document,
browser_data_received,1787039142,3165.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,from_cache=false&resource_type=Document&from_service_worker=false&from_prefetch_cache=false,
browser_http_req_failed,1787039142,0.000000,,,,,,GET,http://localhost/Test_API/auth.html,http/1.1,ui,,200,,,http://localhost/Test_API/auth.html,resource_type=Document&from_service_worker=false&from_prefetch_cache=false&from_cache=false,
browser_web_vital_ttfb,1787039142,4.200000,,,,,,,http://localhost/Test_API/auth.html,,ui,,,,,http://localhost/Test_API/auth.html,rating=good,
